mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	0	4/4	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	0	4/4	1	0						3
3	2	5	4.0	0	4/4	1	0						4
4	3	9	4.0	0	4/4	1	0						5
5	4	13	3.0	0	4/4	3/4	0				line		6
6	4	16	1.0	0	4/4	1/4	3/4		1				7
7	5	17	4.0	0	4/4	1	0						8
8	6	21	4.0	0	4/4	1	0						9
9	7	25	4.0	0	4/4	1	0						10
10	8	29	3.0	0	4/4	3/4	0				line	end	1, 11
11	8	32	1.0	0	4/4	1/4	3/4		1				12
12	9	33	4.0	0	4/4	1	0						13
13	10	37	4.0	0	4/4	1	0						14
14	11	41	4.0	0	4/4	1	0						15
15	12	45	4.0	0	4/4	1	0				line		16
16	13	49	3.0	0	3/4	3/4	0						17
17	14	52	3.0	0	3/4	3/4	0						18
18	15	55	3.0	0	3/4	3/4	0						19
19	16	58	3.0	0	3/4	3/4	0						20
20	17	61	3.0	0	3/4	3/4	0						21
21	18	64	3.0	0	3/4	3/4	0						22
22	19	67	3.0	0	3/4	3/4	0						23
23	20	70	3.0	0	3/4	3/4	0				line		24
24	21	73	3.0	0	3/4	3/4	0						25
25	22	76	3.0	0	3/4	3/4	0						26
26	23	79	3.0	0	3/4	3/4	0						27
27	24	82	3.0	0	3/4	3/4	0						28
28	25	85	3.0	0	3/4	3/4	0						29
29	26	88	3.0	0	3/4	3/4	0						30
30	27	91	3.0	0	3/4	3/4	0						31
31	28	94	3.0	0	3/4	3/4	0				line		32
32	29	97	4.0	0	4/4	1	0						33
33	30	101	4.0	0	4/4	1	0						34
34	31	105	4.0	0	4/4	1	0						35
35	32	109	3.0	0	4/4	3/4	0			end		lastMeasure	-1
