mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
1	0	0	0	0.0	0	3/4	StaffText	4/4	1	1	0						Trompeten						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0									
1	0	0	0	0.0	0	3/4	StaffText	4/4	2	1	0						Pauken						
1	0	0	0	1.0	0	3/4	Chord	4/4	3	1	1/4	1/4	1	1									
1	0	0	0	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	2									
1	0	0	0	1.0	0	3/4	Chord	4/4	5	1	1/4	1/4	1	3									
1	0	0	0	1.0	0	3/4	Chord	4/4	7	1	1/4	1/4	1	4									
1	0	0	0	1.0	0	3/4	Chord	4/4	10	1	1/4	1/4	1	5	Nun								
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	7									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	8									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	9									
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	10									
2	1	5/2	5/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	11									
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	12									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	13									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	14									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	15									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	16									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	17									
2	1	1	1	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	18									
