mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	46									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	47									
3	2	5	5	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	48									
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	49									
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	50									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	51									
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52	ist	mor-	ich						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	53	nicht	-gen	noch						
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	54	lieb	kommt,	heu-						
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	55	des	kann's	-te						
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	56									
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	57									
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	58									
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	59									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	60									
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	61									
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	62									
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	63									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	64									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	65									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	66									
4	3	9	9	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	67									
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	68									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	69									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	70									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	71									
4	3	9	9	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	72									
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	73									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	74									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	75									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	76									
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	77	Sün-	än-	komtt						
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=74.1	74.0	𝅘𝅥	74.1	0.0
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	78	-ders	-dern	zu						
5	4	15	15	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=74.5	75.0	𝅘𝅥	74.5	0.0
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	79	Tod:	sich:	dir						
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
5	4	16	16	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	80	Viel	wer	und						
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	81									
5	4	13	13	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	82									
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	83									
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	84									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	85									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	86									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	87									
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	88									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	89									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	90									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	91									
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	92									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	93									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	94									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	95									
5	4	13	13	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	96									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	97									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	98									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	99									
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	100	mehr	heut'	Bu-						
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	101	ist	ist	-sse						
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	102									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	103	dies	frisch,	thu'						
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	104	mein	ge-	den						
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	105									
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	106									
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	107									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	108									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	109									
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	110									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	111									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	112									
6	5	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	113									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	114									
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	115									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	116									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	117									
6	5	20	20	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	118									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	119									
6	5	17	17	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	120									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	121									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	122									
6	5	20	20	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	123									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	124									
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	125	Wunsch	-sund	Au-						
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	126	und	und	-gen						
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	127	Will',	roth,	blick,						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	128	dass	ist	eh'						
7	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	129									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	130									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	131									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	132									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	133									
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	134									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	135									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	136									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	137									
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	138									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	139									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	140									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	141									
7	6	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	142									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	143									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	144									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	145									
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	146	er	mor-	mich						
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	147	von	-gen	der						
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	148	Sün-	krank,	schnel-						
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	149	-den	ja	-le						
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	150									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	151									
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	152									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	153									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	154									
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	155									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	156									
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	157									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	158									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	159									
8	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	160									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	161									
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	162									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	163									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	164									
8	7	25	25	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	165									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	166									
8	7	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	167									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	168									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	169									
9	8	29	29	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	170	hal-	wohl	Tod						
9	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	171	-te	gar	hin-						
9	8	31	31	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	172	still,	todt.	-rück;						
9	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	173	von	So	auf						
9	8	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	174									
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	175									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	176									
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	177									
9	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	178									
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	179									
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	180									
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	181									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	182									
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	183									
9	8	29	29	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	184									
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	185									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	186									
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	187									
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	188									
9	8	29	29	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	189									
9	8	30	30	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	190									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	191									
9	8	32	32	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	192									
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	193									
10	9	33	33	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	194	sei-	du	dass						
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	195	-ner	nun	ich						
10	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	196	Bos-	stir-	heut'						
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	197									
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	198	-heit	-best	und						
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	199									
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	200									
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	201									
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	202									
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	203									
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	204									
10	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	205									
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	206									
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	207									
10	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	208									
10	9	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	209									
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	210									
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	211									
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	212									
10	9	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	213									
10	9	34	34	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	214									
10	9	35	35	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	215									
10	9	36	36	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	216									
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	217									
11	10	37	37	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
11	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	218	keh-	oh-	je-						
11	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	219	-re	-ne	-der-						
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	220	sich	Buss',	-zeit'						
11	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	221	und	dein	zu						
11	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	222									
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	223									
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	224									
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	225									
11	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	226									
11	10	38	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	227									
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	228									
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	229									
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	230									
11	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	231									
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	232									
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	233									
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	234									
11	10	37	37	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	235									
11	10	38	38	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	236									
11	10	39	39	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	237									
11	10	40	40	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	238									
12	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	239	le-	Leib	mei-						
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	240	-be	und	-ner						
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	241									
12	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	242	mit	Seel'	Heim-						
12	11	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	243	mir	dort	-fahrt						
12	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	244									
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	245									
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	246									
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	247									
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	248									
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	249									
12	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	250									
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	251									
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	252									
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	253									
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	254									
12	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	255									
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	256									
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	257									
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	258									
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	259									
12	11	41	41	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	260									
12	11	42	42	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	261									
12	11	43	43	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	262									
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	263									
12	11	44	44	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	264									
13	12	45	45	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0
13	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	265	e-	bren-	sei						
13	12	46	46	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	266	-wig-	-nen	be-						
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	267	-lich.	muss.	-reit.						
13	12	45	45	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	268									
