mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	49							
3	2	6	6	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	50							
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	51							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	52							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	53							
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	54	seg-						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	55	-ne						
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	56	un-						
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	57	-ser'						
4	3	9	9	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	58							
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	59							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	60							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	61							
4	3	9	9	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	62							
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	63							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	64							
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	65							
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	66							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	67							
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	68							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	69							
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	70							
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	71							
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	72							
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	73							
4	3	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	74							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	75							
4	3	11	11	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	76							
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	77							
4	3	12	12	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	78							
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	79							
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	80	Stadt						
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=74.1	74.0	𝅘𝅥	74.1	0.0
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	81	und						
5	4	15	15	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=74.5	75.0	𝅘𝅥	74.5	0.0
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	82	Land:						
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	83	gieb						
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	84							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	85							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	86							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	87							
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	88							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	89							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	90							
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	91							
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	92							
5	4	13	13	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	93							
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	94							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	95							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	96							
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	97							
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	98							
5	4	13	13	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	99							
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	100							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	101							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	102							
5	4	16	16	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	103							
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	104							
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	105	uns						
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	106	all-						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	107	-zeit						
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	108	dein						
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	109							
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	110							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	111							
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	112							
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	113							
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	114							
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	115							
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	116							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	117							
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	118							
6	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	119							
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	120							
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	121							
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	122							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	123							
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	124							
6	5	17	17	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	125							
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	126							
6	5	18	18	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	127							
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	128							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	129							
6	5	20	20	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	130							
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	131	heil'-						
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	132	-ge						
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	133	Wort,						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	134	be-						
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	135							
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	136							
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	137							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	138							
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	139							
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	140							
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	141							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	142							
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	143							
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	144							
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	145							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	146							
7	6	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	147							
7	6	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	148							
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	149							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	150							
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	151	-hüt						
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	152	vor						
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	153	Teu-						
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	154	-fels						
8	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	155							
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	156							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	157							
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	158							
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	159							
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	160							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	161							
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	162							
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	163							
8	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	164							
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	165							
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	166							
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	167							
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	168							
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	169							
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	170							
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	171							
8	7	25	25	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	172							
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	173							
8	7	26	26	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	174							
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	175							
8	7	27	27	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	176							
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	177							
8	7	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	178							
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	179							
9	8	29	29	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	180	List						
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	181	und						
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	182	Mort,						
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	183	ver-						
9	8	29	29	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	184							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	185							
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	186							
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	187							
9	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	188							
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	189							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	190							
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	191							
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	192							
9	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	193							
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	194							
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	195							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	196							
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	197							
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	198							
9	8	29	29	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	199							
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	200							
9	8	30	30	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	201							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	202							
9	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	203							
9	8	32	32	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	204							
10	9	33	33	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	205	-leih'						
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	206	ein						
10	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	207	sel'-						
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	208							
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	209	-ges						
10	9	33	33	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	210							
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	211							
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	212							
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	213							
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	214							
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	215							
10	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	216							
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	217							
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	218							
10	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	219							
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	220							
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	221							
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	222							
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	223							
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	224							
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	225							
10	9	33	33	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	226							
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	227							
10	9	34	34	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	228							
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	229							
10	9	35	35	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	230							
10	9	36	36	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	231							
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	232							
11	10	37	37	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
11	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	233	Stün-						
11	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	234	-de-						
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	235	-lein,						
11	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	236	auf						
11	10	37	37	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	237							
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	238							
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	239							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	240							
11	10	37	37	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	241							
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	242							
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	243							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	244							
11	10	37	37	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	245							
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	246							
11	10	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	247							
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	248							
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	249							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	250							
11	10	37	37	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	251							
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	252							
11	10	38	38	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	253							
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	254							
11	10	39	39	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	255							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	256							
12	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	257	dass						
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	258	wir						
12	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	259	e-						
12	11	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	260	-wig						
12	11	41	41	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	261							
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	262							
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	263							
12	11	43	43	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	264							
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	265							
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	266							
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	267							
12	11	41	41	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	268							
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	269							
12	11	43	43	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	270							
12	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	271							
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	272							
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	273							
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	274							
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	275							
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	276							
12	11	41	41	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	277							
12	11	42	42	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	278							
12	11	43	43	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	279							
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	280							
12	11	44	44	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	281							
