mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	-2	3/4	1/4	1/2		1			firstMeasure	2
2	1	1	3.0	-2	3/4	3/4	0						3
3	2	4	3.0	-2	3/4	3/4	0						4
4	3	7	3.0	-2	3/4	3/4	0						5
5	4	10	3.0	-2	3/4	3/4	0				line		6
6	5	13	3.0	-2	3/4	3/4	0						7
7	6	16	3.0	-2	3/4	3/4	0						8
8	7	19	3.0	-2	3/4	3/4	0						9
9	8	22	3.0	-2	3/4	3/4	0						10
10	9	25	3.0	-2	3/4	3/4	0						11
11	10	28	3.0	-2	3/4	3/4	0				line		12
12	11	31	3.0	-2	3/4	3/4	0						13
13	12	34	3.0	-2	3/4	3/4	0						14
14	13	37	3.0	-2	3/4	3/4	0						15
15	14	40	3.0	-2	3/4	3/4	0						16
16	15	43	3.0	-2	3/4	3/4	0						17
17	16	46	2.0	-2	3/4	1/2	0			end		lastMeasure	-1
