mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	tempo	qpm	metronome_base	metronome_number	tempo_visible
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	25									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26	See-	Höh-	-höh-	-krö-					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	27	-le	-le	-net,	-net:					
2	2	4	4	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	28									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	29									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	30									
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	31									
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	32									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	33									
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	34									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	35									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	36									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	37									
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	38									
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	39									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	40									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	41									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	42									
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	43	hast	und	dich	was					
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	44	durch	der	mit	hat					
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	45	dei-	schwe-	gros-	dich					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	46	-nen	-ren	-sem	da-					
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	47									
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	48									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	49									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	50									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	51									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	52									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	53									
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54									
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	55									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	56									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	57									
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	58									
3	3	8	8	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	59									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	60									
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	61									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	62									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	63									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	64									
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	65									
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	66	bit-	Sün-	Schimpf	-zu					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	67	-tern	-den-	be-	be-					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	68	Tod	-noth	-legt,	-wegt?					
4	4	12	12	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	69									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	70									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	71									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	72									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	73									
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	74									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	75									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	76									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	77									
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	78									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	79									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	80									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	81									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	82									
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	83	kräf-	Dass							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	84	-tig-	du							
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	85	-lich	möch-							
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	86									
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	87	her-	-test							
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	88									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	89									
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	90									
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	91									
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	92									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	93									
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	94									
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	95									
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	96									
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	97									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	98									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	99									
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	100									
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	101									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	102									
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	103	-aus-	mich							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	104	-ge-	er-							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	105									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	106	-ris-	-göt-							
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	107	-sen	-zen,							
6	6	20	20	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	108									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	109									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	110									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	111									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	112									
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	113									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	114									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	115									
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	116									
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	117									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	118									
6	6	20	20	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	119									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	120									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	121									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	122									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	123									
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	124	und	mir							
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	125	mich	die							
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	126	Sol-	Eh-							
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	127									
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	128	-ches	-ren-							
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	129									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	130									
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	131									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	132									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	133									
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	134									
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	135									
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	136									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	137									
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	138									
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	139									
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	140									
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	141									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	142									
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	143									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	144									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	145									
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	146	las-	-kron							
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	147	-sen	auf-							
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	148	wis-	-set-							
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	149	-sen	-zen.							
8	8	28	28	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	150									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	151									
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	152									
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	153									
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	154									
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	155									
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	156									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	157									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	158									
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	159									
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	160									
8	8	28	28	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	161									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	162									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	163									
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	164									
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	165									
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	166	durch	Tau-							
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	167	dein	-send–,							
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	168	an-	tau-							
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	169	-ge-	-send-							
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	170									
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	171									
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	172									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	173									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	174									
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	175									
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	176									
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	177									
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	178									
9	9	32	32	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	179									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	180									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	181									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	182									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	183									
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	184									
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	185									
10	10	36	36	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	186	-neh-	-mal							
10	10	37	37	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	187	-mes	sei							
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	188	Wort:	dir,							
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	189									
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	190									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	191									
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	192									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	193									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	194									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	195									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	196									
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	197									
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	198									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	199									
11	11	40	40	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	200	sei	lieb-							
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	201	doch	-ster							
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	202	itzt,	Je-							
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	203	o	-su,							
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	204									
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	205									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	206									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	207									
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	208									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	209									
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	210									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	211									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	212									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	213									
11	11	40	40	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	214									
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	215									
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	216									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	217									
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	218									
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	219									
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	220									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	221									
12	12	44	44	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0
12	12	44	44	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	222	Gott,	Dank							
12	12	45	45	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	223	mein	da-							
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	224	Hort.	-für.							
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	225									
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	226									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	227									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	228									
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	229									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	230									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	231									
12	12	44	44	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	232									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	233									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	234									
