mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
2	2	5	5	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	27	mir							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	28								
2	2	6	6	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	29	Schwa-							
2	2	7	7	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	30	-chen,							
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	31								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	32								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	33								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	34								
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	35								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	36								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	37								
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	38								
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	39								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	40								
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	41								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	42								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	43								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	44								
2	2	4	4	0.5	0	0	Chord	4/4	2	3	1/8	1/8	1	45								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	3	1/8	1/8	1	46								
2	2	4	4	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	47								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	48								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	49								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	50								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	51								
3	3	8	8	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52	lass							
3	3	9	9	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	53	mich							
3	3	19/2	19/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	54	ja							
3	3	11	11	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	55	ver-							
3	3	23/2	23/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	56								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	57								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	58								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	59								
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	60								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	61								
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	62								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	63								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	64								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	65								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	66								
3	3	8	8	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	67								
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	68								
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	69								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	70								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	71								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	72								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	73								
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	74								
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	75								
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	76								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	77								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	78								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	79								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	80								
4	4	12	12	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	81	-za-							
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	82	-gen							
4	4	14	14	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	83	nicht;							
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	84								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	85								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	86								
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	87								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	88								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	89								
4	4	12	12	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	90								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	91								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	92								
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	93								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	94								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	95								
5	5	16	16	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	96	du,							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	97	du							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	98	kannst							
5	5	19	19	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	99	mich							
5	5	39/2	39/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	100								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	101								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	102								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	103								
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	104								
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	105								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	106								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	107								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	108								
5	5	16	16	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	109								
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	110								
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	111								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	112								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	113								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	114								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	3	1/8	1/8	1	115								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	3	1/8	1/8	1	116								
5	5	16	16	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	117								
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	118								
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	119								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	120								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	121								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	122								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	123								
6	6	20	20	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=73.8	74.0	𝅘𝅥	73.8	0.0
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	124	stär-							
6	6	21	21	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=71.6	72.0	𝅘𝅥	71.6	0.0
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	125	-ker							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	126								
6	6	22	22	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70.5	70.0	𝅘𝅥	70.5	0.0
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	127	ma-							
6	6	45/2	45/2	0.0	5/8	5/8	Tempo	4/4	1	1	0							𝅘𝅥=68.6	69.0	𝅘𝅥	68.6	0.0
6	6	23	23	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	128	-chen,							
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	129								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	130								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	131								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	132								
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	133								
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	134								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	135								
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	136								
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	137								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	138								
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	139								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	140								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	141								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	142								
6	6	20	20	0.5	0	0	Chord	4/4	2	3	1/8	1/8	1	143								
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	3	1/8	1/8	1	144								
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	145								
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	146								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	147								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	148								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	149								
7	7	24	24	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	150	wenn							
7	7	25	25	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	151	mich							
7	7	26	26	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	152	Sünd							
7	7	27	27	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	153	und							
7	7	55/2	55/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=66.4	66.0	𝅘𝅥	66.4	0.0
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	154								
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	155								
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	156								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	157								
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	158								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	159								
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	160								
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	161								
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	162								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	163								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	164								
7	7	24	24	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	165								
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	166								
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	167								
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	168								
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	169								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	170								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	171								
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	172								
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	173								
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	174								
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	175								
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	176								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	177								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	178								
8	8	28	28	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	179	Tod							
8	8	29	29	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	180	an-							
8	8	30	30	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	181	-ficht.							
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	182								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	183								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	184								
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	185								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	186								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	187								
8	8	28	28	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	188								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	189								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	190								
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	191								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	192								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	193								
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72.8	73.0	𝅘𝅥	72.8	0.0
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	194	Dei-							
9	9	33	33	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	195	-ner							
9	9	67/2	67/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=71.1	71.0	𝅘𝅥	71.1	0.0
9	9	34	34	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	196	Gü-							
9	9	35	35	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	197	-te							
9	9	71/2	71/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	198								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	199								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	200								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	201								
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	202								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	203								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	204								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	205								
9	9	32	32	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	206								
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	207								
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	208								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	209								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	210								
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	3	1/8	1/8	1	211								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	3	1/8	1/8	1	212								
9	9	32	32	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	213								
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	214								
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	215								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	216								
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	217								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	218								
10	10	36	36	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	219	will							
10	10	37	37	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	220	ich							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	221								
10	10	38	38	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=67.7	68.0	𝅘𝅥	67.7	0.0
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	222	trau-							
10	10	39	39	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	223	-en,							
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	224								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	225								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	226								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	227								
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	228								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	229								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	230								
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	231								
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	232								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	233								
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	234								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	235								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	236								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	237								
10	10	36	36	0.5	0	0	Chord	4/4	2	3	1/8	1/8	1	238								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	3	1/8	1/8	1	239								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	3	1/4	1/4	1	240								
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	241								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	242								
