mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0						𝅗𝅥=57.04	114.0	𝅗𝅥	57.04	0.0	
1	1	2	2	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	0								
1	1	2	2	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	1								
1	1	2	2	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	2								
2	2	4	4	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	3	dan-	gro-						
2	2	6	6	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	4	-ket	-sse						
2	2	4	4	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	5								
2	2	6	6	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	6								
2	2	4	4	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	7								0
2	2	5	5	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	8								
2	2	6	6	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	9								
2	2	4	4	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	10								
2	2	6	6	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	11								
3	3	8	8	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	12	al-	Din-						
3	3	10	10	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13	-le	-ge						
3	3	8	8	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	14								
3	3	10	10	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	15								
3	3	8	8	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	16								
3	3	10	10	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	17								
3	3	8	8	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	18								
3	3	10	10	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	19								
4	4	12	12	4.0		0	0	Chord	4/4	1	1	1	1	1	20	Gott	thut						
4	4	12	12	4.0		0	0	Chord	4/4	1	2	1	1	1	21								
4	4	12	12	4.0		0	0	Chord	4/4	2	1	1	1	1	22								
4	4	12	12	4.0		0	0	Chord	4/4	2	2	1	1	1	23								
7	7	26	26	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	24	mit	an						
7	7	26	26	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	25								
7	7	26	26	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	26								
7	7	26	26	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	27								
8	8	28	28	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	28	Her-	uns						
8	8	30	30	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	29	-zen,	und						
8	8	28	28	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	30								
8	8	30	30	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	31								
8	8	28	28	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	32								
8	8	30	30	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33								
8	8	28	28	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	34								
8	8	30	30	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	35								
9	9	32	32	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	36	Mund	al-						
9	9	34	34	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	37	und	-len						
9	9	32	32	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	38								
9	9	34	34	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	39								
9	9	32	32	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	40								
9	9	34	34	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	41								
9	9	32	32	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	42								1
9	9	33	33	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	43								
9	9	34	34	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	44								2
9	9	35	35	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	45								
10	10	36	36	4.0		0	0	Chord	4/4	1	1	1	1	1	46	Hän-	En-						
10	10	36	36	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	47								3
10	10	38	38	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	48								
10	10	36	36	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	49								4
10	10	39	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	50								
10	10	36	36	4.0		0	0	Chord	4/4	2	2	1	1	1	51								
11	11	40	40	4.0		0	0	Chord	4/4	1	1	1	1	1	52	-den,	-den;						
11	11	40	40	4.0		0	0	Chord	4/4	1	2	1	1	1	53								
11	11	40	40	4.0		0	0	Chord	4/4	2	1	1	1	1	54								
11	11	40	40	4.0		0	0	Chord	4/4	2	2	1	1	1	55								
15	15		58	2.0	1	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	56	der							
15	15		58	2.0	1	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	57								
15	15		58	2.0	1	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	58								
15	15		58	2.0	1	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	59								
17	16	62	66	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	60	der							
17	16	62	66	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	61								
17	16	62	66	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	62								
17	16	62	66	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	63								
18	17	64	68	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	64	uns							
18	17	66	70	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	65	von							
18	17	64	68	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	66								
18	17	66	70	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	67								
18	17	64	68	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	68								
18	17	66	70	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	69								
18	17	64	68	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	70								
18	17	66	70	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	71								
19	18	68	72	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	72	Mut-							
19	18	70	74	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	73	-ter-							
19	18	68	72	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	74								
19	18	70	74	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	75								
19	18	68	72	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	76								
19	18	70	74	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	77								5
19	18	71	75	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	78								
19	18	68	72	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	79								
19	18	70	74	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	80								
20	19	72	76	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	81	-leib							
20	19	72	76	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	82								
20	19	72	76	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	83								
20	19	72	76	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	84								
24	23	90	94	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	85	und							
24	23	90	94	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	86								
24	23	90	94	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	87								
24	23	90	94	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	88								
25	24	92	96	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	89	Kin-							6
25	24	93	97	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	90								
25	24	94	98	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	91	-des-							
25	24	92	96	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	92								
25	24	94	98	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	93								
25	24	92	96	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	94								7
25	24	93	97	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	95								
25	24	94	98	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	96								
25	24	92	96	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	97								
25	24	94	98	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	98								
25	24	95	99	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	99								
26	25	96	100	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	100	-bei-							
26	25	98	102	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	101	-nen							
26	25	96	100	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	102								
26	25	98	102	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	103								
26	25	96	100	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	104								
26	25	98	102	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	105								
26	25	96	100	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	106								
26	25	98	102	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	107								
27	26	100	104	4.0		0	0	Chord	4/4	1	1	1	1	1	108	an							
27	26	100	104	4.0		0	0	Chord	4/4	1	2	1	1	1	109								
27	26	100	104	4.0		0	0	Chord	4/4	2	1	1	1	1	110								
