mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0										𝅘𝅥=82.4	82.0	𝅘𝅥	82.4	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0												
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1												
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2												
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	3	1. Lo-	mei-	4. Lo-	der	5. Lo-	Al-						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	4	-be	-ne	-be	aus	-be	-les,						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	5	den	ge-	den	dem	den	was						
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	6												
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7												
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8												
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	9												
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	10												
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	11												
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	12												
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	13												
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	14												
2	2	3	3	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	15	Her-	-lie-	Her-	Him-	Her-	O-						
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	16	-ren,	-be-	-ren,	-mel	-ren,	-dem						
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	17	den	-te	der	mit	was	hat,						
2	2	3	3	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	18												
