mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	20	-mel							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21	nicht							
2	2	4	4	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	22								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	23								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	24								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	25								
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	27								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	28								
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	29								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	30								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	31								
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	32	mei-							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	33	-ne							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	34	See-							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	35	-le							
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	36								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	37								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	38								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	39								
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	40								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	41								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	42								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	43								
3	3	8	8	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	44								
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	45								
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	46								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	47								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	48								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	49								
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	50								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	51								
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52	wünscht							
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	53	und							0
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	54								0
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	55								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	56	se-							
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	57								
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	58								1
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	59								1
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	60								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	61								
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	62								2
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	63								2
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	64								
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	65								
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	66								3
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	67								3
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	68								
4	4	12	12	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	69								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	70								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	71								
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	72	-net,							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	73	Je-							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	74	-sum							
5	5	16	16	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	75								
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	76								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	77								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	78								
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	79								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	80								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	81								
5	5	16	16	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	82								
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	83								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	84								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	85								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	86								
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	87	wünsch'							
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	88	ich							
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	89	und							
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90	sein'							
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	91								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	92								
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	93								
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	94								
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	95								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	96								
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	97								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	98								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	99								
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	100								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	101								
6	6	20	20	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	102								
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	103								
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	104								
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	105								
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	106								
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	107								
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	108								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	109								
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	110	Licht,							
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	111	der							
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	112	mich							
7	7	24	24	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	113								
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	114								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	115								
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	116								
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	117								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	118								
7	7	24	24	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	119								
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	120								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	121								
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	122								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	123								
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	124	hat							
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	125	mit							
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	126	Gott							
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	127	ver-							4
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	128								4
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	129								
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	130								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	131								
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	132								
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	133								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	134								
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	135								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	136								
8	8	30	30	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	137								
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	138								
8	8	28	28	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	139								
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	140								
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	141								
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	142								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	143								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	144								
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	145	-söh-	ornamentTrill						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	146	-net,							
9	9	32	32	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	147								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	148								
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	149								5
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	150								5
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	151								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	152								
9	9	32	32	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	153								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	154								
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	155	der							
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	156	mich							
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	157	frei-							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	158	-macht							
10	10	36	36	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	159								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	160								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	161								
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	162								6
10	10	36	36	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	163								
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	164								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	165								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	166								
10	10	36	36	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	167								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	168								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	169								
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	170								
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	171								
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	172								
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	173								
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	174	vom							
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	175	Ge-							
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	176	-richt,							
11	11	40	40	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	177								
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	178								
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	179								
11	11	41	41	0.25	1/4	1/4	Chord	4/4	1	2	1/16	1/16	1	180								
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16	1/16	1	181								
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	182								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	183								
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	184								
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	185								
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	186								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	187								
11	11	40	40	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	188								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	189								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	190								
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	191	mei-							
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	192	-nen							
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	193	Je-							
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	194	-sum							
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	195								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	196								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	197								
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	198								
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	199								
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	200								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	201								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	202								7
12	12	44	44	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	203								
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	204								
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	205								
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	206								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	207								
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	208								
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	209								
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	210	lass'							
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	211	ich							
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	212	nicht.							
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	213								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	214								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	215								
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	216								
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	217								
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	218								
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	219								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	220								
13	13	48	48	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	221								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	222								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	223								
