mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0										𝅗𝅥=77.6	155.0	𝅗𝅥	77.6	0.0	
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	0	1. O	und	9. Lass	dass	10. Zu-	und						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	1												
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	2												
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	3												
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4	Gott,	uns	dei-	Fried'	-letzt	uns-						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5	der	zu	-ne	und	lass	-re						
2	2	4	4	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	6												
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	7												
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	8												
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	9												
2	2	4	4	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	10												
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	11												
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12	du	al-	Kirch'	Freud'	sie	Seel'						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13	aus	-ler	und	in	an	in						
3	3	8	8	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	14												
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	15												
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	16												
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	17												
3	3	8	8	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	18												
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	19												
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	20	Her-	Zeit	un-	al-	un-	dei-						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21	-zens-	und	-ser	-lem	-serm	-ne						
4	4	12	12	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	22												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	23												
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	24												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	25												
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	26												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	27												
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	28	-grund	Stund'	Land	Stand	End'	Händ'						
5	5	16	16	4.0	0	0	Chord	4/4	1	2	1	1	1	29												
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	30												
5	5	16	16	4.0	0	0	Chord	4/4	2	2	1	1	1	31												
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	32	die	viel	der	ein	den	und						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	33												
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	34												
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	35												
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	36	Men-	Gu-	En-	Je-	Sa-	A-						
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	37	-schen-	-tes	-gel	-der	-tan	-bra-						
7	7	24	24	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	38												
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	39												
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	40												
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	41												
7	7	24	24	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	42												
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	43												
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	44	-kin-	reich-	Schutz	mö-	von	-hams						
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	45	-der	-lich	em-	-ge	uns	Schooss						
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	46												0
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	47												
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	48												
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	49												
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	50												
8	8	28	28	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	51												
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	52												
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	53	lie-	gie-	-pfin-	fin-	ja-	tra-						
9	9	32	32	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	54												1
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	55												
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1	1	1	56												
9	9	32	32	4.0	0	0	Chord	4/4	2	2	1	1	1	57												
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	58	-best,	-best:	-den,	-den:	-gen,	-gen,						
10	10	36	36	4.0	0	0	Chord	4/4	1	2	1	1	1	59												
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1	1	1	60												
10	10	36	36	4.0	0	0	Chord	4/4	2	2	1	1	1	61												
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	62	Wir	Lass	da									
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	63												
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	64												
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	65												
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	66	dan-	sie	al-									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	67	-ken	des	-les									
12	12	44	44	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	68												
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	69												
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	70												
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	71												
12	12	44	44	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	72												
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	73												
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	74	dir,	Teu-	Heer									
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	75	dass	-fels	dein									
13	13	48	48	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	76												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	77												
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	78												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	79												
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	80												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	81												
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	82	dei-	Mord	Lob									
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	83	-ne	und	er-									
14	14	52	52	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	84												
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	85												
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	86												
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	87												
14	14	52	52	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	88												
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	89												
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1	1	1	90	Treu	List,	-klingt									
15	15	56	56	4.0	0	0	Chord	4/4	1	2	1	1	1	91												
