mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	29											
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	30											
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	31											
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	32											
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	33											
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	34											
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	35											
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	36	kommt	in	sich	bit-							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	37	und	der	an-	-ten							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	38	ler-	rech-	-neh-	treu-							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	39	-net	-ten	-men	-lich							
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	40											
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	41											
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	42											
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	43											
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	44											
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	45											
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	46											
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	47											
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	48											
3	3	8	8	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	49											
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	50											
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	51											
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	52											
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	53	all-	Chri-	fremd-	für							
4	4	13	13	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	54	-zu-	-sten	-der	sie							
4	4	27/2	27/2	0.0	3/8	3/8	Tempo	4/4	1	1	0									𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
4	4	14	14	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	55	-mal	Zahl,	Noth,	Gott.							
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	56											
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	57											
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	58											
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	59											
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	60											
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	61											
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	62											
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	63											
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	64											
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	65											
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	66											
5	5	16	16	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	67	die	Die									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	68	be-	be-									
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	69	-ken-	-hülf-									
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	70	-nen	-lich									
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	71											
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	72											
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	73											
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	74											0
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	75											0
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	76											
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	77											
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	78											
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	79											
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	80											
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	81											
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	82											
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	83											
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	84											
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	85											
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	86											
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	87											
6	6	20	20	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	88	mit	sind									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	89	dem	mit									
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	90	Mund,	Rath,									
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	91											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	92											
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	93											
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	94											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	95											
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	96											
6	6	20	20	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	97											
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	98											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	99											
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	100											
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	101	glau-	auch,									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	102	-ben	wo									
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	103	auch	mög-									
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	104	von	-lich,									
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	105											
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	106											
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	107											
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	108											
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	109											
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	110											
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	111											
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	112											
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	113											
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	114											
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	115											
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	116											
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	117											
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	118											
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	119	Her-	mit									
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	120	-zens-	der									
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	121	-grund,	That,									
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	122											
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	123											
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	124											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	125											
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	126											
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	127											
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	128											
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	129											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	130											
8	8	28	28	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	131											
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	132											
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	133											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	134											
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	135	und	wer-									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	136											
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	137	be-	-den									
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	138	-mü-	wie-									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	139	-hen	-der									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	140											
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	141											
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	142											
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	143											
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	144											
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	145											
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	146											
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	147											
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	148											
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	149											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	150											
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	151											
9	9	32	32	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	152											
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	153											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	154											
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	155											
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	156	sich	Hülf'									
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	157	da-	em-									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	158	-ne-	-pfan-									
10	10	36	36	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	159											
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	160											
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	161											
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	162											1
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	163											1
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	164											
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	165											
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	166											
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	167											2
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	168											
10	10	36	36	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	169											
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	170											
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	171											
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	172											3
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	173											3
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	174											
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	175	-ben,	-gen									
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	176	Gut's	und									
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	177											
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	178	zu	Barm-									
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	179											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	180											
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	181											
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	182											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	183											
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	184											
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	185											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	186											
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	187											
12	12	44	44	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	188	thun,	-her-									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	189	so	-zig-									
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	190	lang	-keit									
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	191	sie	er-									
12	12	44	44	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	192											
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	193											
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	194											
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	195											
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	196											
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	197											
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	198											
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	199											
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	200											
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	201											
12	12	44	44	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	202											
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	203											
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	204											
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	205											
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	206											
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	207											
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	208	le-	-lan-									
13	13	99/2	99/2	0.0	3/8	3/8	Tempo	4/4	1	1	0									𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	209	-ben.	-gen.									
13	13	48	48	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	210											4
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	211											
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	212											
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	213											5
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	214											
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	215											
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	216											
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	217											
